Month,Actual_2025,Best_SARIMA,Best_SARIMA_Error,SARIMAX_Int,SARIMAX_Int_Error,HW_Mul,HW_Mul_Error
2025-01,7174.0,7810.038666194084,636.0386661940838,7806.44836400261,632.4483640026101,7652.732765908337,478.73276590833666
2025-02,7421.0,7520.373749028608,99.37374902860756,7522.41364359933,101.41364359932959,7302.622657214794,-118.37734278520566
2025-03,8175.0,8160.760242365157,-14.239757634843045,7915.839152339454,-259.1608476605461,7926.202259269998,-248.79774073000226
2025-04,7565.0,8024.641292918152,459.64129291815243,7867.108652543954,302.1086525439541,7705.123470510805,140.12347051080542
2025-05,9085.0,8974.116731388649,-110.88326861135101,8556.054940393062,-528.9450596069382,8730.09138792219,-354.9086120778102
2025-06,7788.0,8057.3561223942115,269.3561223942115,7855.971952330989,67.97195233098864,7850.984379579585,62.98437957958504
2025-07,8046.0,7938.376770553968,-107.62322944603238,7746.795727986166,-299.20427201383427,7547.234998191386,-498.7650018086142
2025-08,6840.0,6803.750806040716,-36.24919395928373,6912.475012810156,72.47501281015593,6456.428827433897,-383.5711725661031
2025-09,8274.0,8345.735873895002,71.73587389500244,8033.815876072254,-240.18412392774644,8003.645432919775,-270.354567080225
2025-10,9284.0,9339.424626145892,55.424626145892034,8747.957097829441,-536.0429021705586,9005.506337560199,-278.4936624398015
2025-11,8244.0,8773.460830621005,529.4608306210048,8338.815393885556,94.81539388555575,8416.984975203908,172.9849752039081
2025-12,7123.0,8050.200964361033,927.2009643610327,7880.855300612808,757.8553006128077,7665.68413132269,542.6841313226896
