Date,Real_Observed,Forecast_HW,Error_HW_Pct,Forecast_Holt_Low,Error_Holt_Low_Pct,Forecast_Holt_High,Error_Holt_High_Pct
2019-01-01,5149.0,5178.135609324674,0.5658498606462241,5283.021159222995,2.602858015595169,5304.595098989324,3.0218508251956413
2019-02-01,5138.0,4873.703920887317,5.143948600869665,4889.759535914904,4.831460959227256,4913.346985446066,4.372382533163364
2019-03-01,5715.0,5393.418058890953,5.626980596833717,5368.857858820957,6.056730379335843,5394.458818116956,5.608769586754932
2019-04-01,5630.0,5212.846842792456,7.409469932638432,5239.715992568063,6.932220380673844,5267.330461628897,6.441732475508047
2019-05-01,6696.0,5853.41711334152,12.583376443525685,5985.2628508946,10.614354078635007,6014.89082972027,10.171881276579006
2019-06-01,5696.0,5264.273136228509,7.5794744341904945,5543.515716656503,2.677041491283301,5575.157205247008,2.121537829230894
2019-07-01,5696.0,5066.991155229576,11.042992359031317,5073.426909092092,10.930005107231539,5107.081907447433,10.339151905768382
2019-08-01,5114.0,4210.277715865424,17.67153469172029,4456.169341652663,12.863329259822775,4491.837849772839,12.16586136541183
2019-09-01,6237.0,5353.84466953473,14.159937958397784,5467.941940987037,12.330576543417717,5505.623958872049,11.726407585825733
2019-10-01,7236.0,6004.558653415298,17.01826073223745,6163.449632296084,14.82242078087225,6203.1451599459315,14.273836927225933
2019-11-01,6502.0,5629.991531143012,13.411388324469206,5805.630773677793,10.710077304248038,5847.339811092475,10.06859718405913
2019-12-01,6231.0,5217.990137409391,16.257580847225313,5104.235503886597,18.08320488065163,5147.958051066116,17.38151097631012
2020-01-01,6353.0,5286.526112963179,16.786933528046923,5439.126240636294,14.384916722236834,5484.862297580648,13.665003973230782
2020-02-01,6204.0,4982.0944245258215,19.69544770267857,5045.864617328201,18.667559359635696,5093.614184037391,17.897901611260618
2020-03-01,2772.0,5501.808562529459,98.4779423711926,5524.962940234254,99.3132373821881,5574.72601670828,101.10844216119337
2020-04-01,2086.44262295082,5321.237346430961,155.03875773517447,5395.821073981361,158.6134415884461,5447.597660220222,161.09501408266757
2020-05-01,1423.0,5961.807616980026,318.9604790569238,6141.367932307898,331.57891302234,6195.1580283115945,335.3589619333517
2020-06-01,2461.0,5372.663639867014,118.31221616688397,5699.620798069801,131.5977569309143,5755.424403838333,133.86527443471488
2020-07-01,3249.0,5175.381658868082,59.29152535758947,5229.53199050539,60.95820223162174,5287.349106038758,62.73773795133142
2020-08-01,3084.0,4318.66821950393,40.03463746770202,4612.274423065961,49.554942382164754,4672.105048364165,51.49497562789121
2020-09-01,3672.0,5462.235173173235,48.75368118663494,5624.047022400335,53.16032196079343,5685.891157463374,54.844530432009094
