,coef,std_err,t_stat,p_value,ci_lower,ci_upper
ar.L1,-0.4977715226014191,0.06390904385948955,-7.7887493309369455,6.767571741498627e-15,-0.6230309468524093,-0.37251209835042887
ar.L2,-0.26362414894590463,0.07481437711961716,-3.523709734619704,0.00042555015473516166,-0.41025763362615175,-0.11699066426565752
ar.L3,0.11963895738783395,0.08879696667305563,1.3473315797862377,0.17787346563999973,-0.054399899227758564,0.29367781400342646
ma.S.L12,-0.7283687561255558,0.11379025716354044,-6.40097644808674,1.5438638919192937e-10,-0.951393561957646,-0.5053439502934657
sigma2,0.0021005752311082006,0.00017720072165614977,11.85421374967239,2.0463597539819084e-32,0.0017532681986276403,0.002447882263588761
