Date,Real_Observed,Smoothed_Fits,Seasonally_Adjusted
2012-01-01,4788.0,4419.400000129959,-105.08494245459659
2012-02-01,4374.0,4114.9658816352885,-12.182832210094881
2012-03-01,4555.0,4634.684245449012,30.03508066306938
2012-04-01,4306.0,4454.10561395419,-113.44957736742643
2012-05-01,5286.0,5094.682439662704,8.905150204385885
2012-06-01,4405.0,4505.54287063417,-961.1537853535124
2012-07-01,4224.0,4308.24986086723,-20.027633515488223
2012-08-01,3392.0,3451.5408339218047,-3.1505126703368327
2012-09-01,4555.0,4595.110724769586,78.68755519504444
2012-10-01,5244.0,5245.828483960019,7.496007772047258
2012-11-01,4754.0,4871.260562209109,15.045641351985772
2012-12-01,4239.0,4459.258966993414,-40.3475133551368
2013-01-01,4633.0,4527.790610862661,-101.68306983962948
2013-02-01,4337.0,4223.356488443164,-12.079776702144834
2013-03-01,4555.0,4743.074850090401,30.03508066306938
2013-04-01,4963.0,4562.496216980431,-130.7594641139195
2013-05-01,5421.0,5203.073050863863,9.13258026068405
2013-06-01,4405.0,4613.933482231839,-961.1537853535124
2013-07-01,4457.0,4416.640470849753,-21.132377504387076
2013-08-01,3468.0,3559.9314457611517,-3.2211019872429647
2013-09-01,4555.0,4703.501336126275,78.68755519504444
2013-10-01,5498.0,5354.219093701563,7.859086714476701
2013-11-01,5072.0,4979.651174120401,16.05205993632138
2013-12-01,4566.0,4567.64958202813,-43.45995422966611
2014-01-01,4602.0,4636.181229154911,-101.00269531663606
2014-02-01,4376.0,4331.747104658332,-12.18840277809218
2014-03-01,4920.0,4851.465465271567,32.44184343848548
2014-04-01,4617.0,4670.886835985377,-121.64345069795816
2014-05-01,5268.0,5311.46366309786,8.874826196879463
2014-06-01,4608.0,4722.324090570813,-1005.4475920338218
2014-07-01,4682.0,4525.031080598517,-22.199190369203567
2014-08-01,3565.0,3668.322057247531,-3.3111962469784224
2014-09-01,4905.0,4811.891947442921,84.73379983132666
2014-10-01,5617.0,5462.609708618469,8.029190628449552
2014-11-01,4943.0,5088.041789195399,15.6437957936192
2014-12-01,4821.0,4676.040193565732,-45.887087021730245
2015-01-01,4554.0,4744.571842877163,-99.94921218425915
2015-02-01,4215.0,4440.1377160501825,-11.73997205430954
2015-03-01,5093.0,4959.856072649185,33.58258305532653
2015-04-01,4825.0,4779.277444325749,-127.12359749136844
2015-05-01,5171.0,5419.854272922528,8.711413489761524
2015-06-01,4918.0,4830.714697334922,-1073.0883805604028
2015-07-01,4772.0,4633.42169036684,-22.625915515130163
2015-08-01,3738.0,3776.7126667418133,-3.471879823620012
2015-09-01,4943.0,4920.282557899958,85.39024924898015
2015-10-01,5566.0,5571.000318026604,7.956288951032615
2015-11-01,5212.0,5196.43239622843,16.49513730049429
2015-12-01,4731.0,4784.4308029920285,-45.03045191864879
2016-01-01,4554.0,4852.962449347209,-99.94921218425915
2016-02-01,4466.0,4548.528320905083,-12.439078337970678
2016-03-01,4879.0,5068.24667962913,32.171494743164764
2016-04-01,4950.0,4887.6680465017,-130.41695493933136
2016-05-01,5323.0,5528.2448753459785,8.967482886482419
2016-06-01,4916.0,4939.105300408203,-1072.6519883763604
2016-07-01,4580.0,4741.812291795173,-21.715568537153423
2016-08-01,3895.0,3885.103263693977,-3.617702491439258
2016-09-01,4974.0,5028.673155576459,85.92577377390802
2016-10-01,5320.0,5679.390914549895,7.604645565845044
2016-11-01,5267.0,5304.822987470889,16.66920340784793
2016-12-01,5320.0,4892.821393438906,-50.63665275992634
2017-01-01,4923.0,4961.353046955725,-108.04786376440664
2017-02-01,4595.0,4656.9189223969815,-12.798379973796521
2017-03-01,5493.0,5176.637281428133,36.22013130235787
2017-04-01,4707.0,4996.0586558348705,-124.01466806049145
2017-05-01,5578.0,5636.635479443021,9.397072992823395
2017-06-01,5227.0,5047.4959066898955,-1140.5109729949625
2017-07-01,4738.0,4850.202901095981,-22.464708237780115
2017-08-01,4113.0,3993.4938737340226,-3.820182374143689
2017-09-01,5246.0,5137.0637672498115,90.62456960553307
2017-10-01,5654.0,5787.781528661218,8.08208008069321
2017-11-01,5479.0,5413.213604944053,17.340149130738336
2017-12-01,4839.0,5001.212012455971,-46.05841404234654
2018-01-01,5158.0,5069.743657190185,-113.20554160000192
2018-02-01,4718.0,4765.309534518068,-13.140969905630465
2018-03-01,5224.0,5285.027893766917,34.44638010622929
2018-04-01,5087.0,5104.449262550095,-134.0264747022987
2018-05-01,5892.0,5745.026090205541,9.926058457102087
2018-06-01,5336.0,5155.886520516234,-1164.2943470252762
2018-07-01,4981.0,4958.5935149314,-23.616866131781922
2018-08-01,4266.0,4101.884489575277,-3.9622898147573493
2018-09-01,5264.0,5245.454383755798,90.93551932968472
2018-10-01,6098.0,5896.1721438202785,8.71675350761712
2018-11-01,5648.0,5521.6042251040835,17.875006806061347
2018-12-01,4975.0,5109.602633519151,-47.35288486478075
