Model,alpha_level,beta_trend,gamma_seasonal,phi_damping,Lt,Tt,SSE
HW_Add,0.5606089617204328,0.0,0.0,,7679.901783301173,19.270685639040384,7712260.147563588
HW_Mul,0.45820983547512717,0.0,0.0,,7442.050653553322,19.769486859762,8406751.935128326
HW_Damp_Add,0.5648195657162091,0.0,0.0,0.995,7690.461972032264,10.61274474003741,7817720.161893368
