Model,Order,Seasonal_Order,AIC,AICc,BIC,LjungBox_p_12,LjungBox_p_24
SARIMA_310_011,"(3, 1, 0)","(0, 1, 1, 12)",-417.7581660643314,-417.35816606433144,-403.4204938120535,7.571728772947184e-07,0.0006956709214882762
SARIMA_011_011,"(0, 1, 1)","(0, 1, 1, 12)",-414.36819451363385,-414.21029977679177,-405.7887573005488,0.00012027522033804949,0.03734879106727893
SARIMA_111_011,"(1, 1, 1)","(0, 1, 1, 12)",-412.6289557333324,-412.36405507108077,-401.1897061158857,5.3226892572339466e-05,0.025553932172486537
SARIMA_111_111,"(1, 1, 1)","(1, 1, 1, 12)",-406.00181573562554,-405.60181573562556,-391.7027537138172,4.3456230722673624e-05,0.02571088692272216
SARIMA_011_110,"(0, 1, 1)","(1, 1, 0, 12)",-404.3522852358444,-404.19439049900234,-395.72669326624094,0.012420793502411855,0.3832924368981497
SARIMA_310_110,"(3, 1, 0)","(1, 1, 0, 12)",-398.08744265290017,-397.6874426529002,-383.82729133330207,0.0017737989582570868,0.03222050071304244
SARIMA_311_110,"(3, 1, 1)","(1, 1, 0, 12)",-396.09233192117944,-395.5285735319177,-378.9801503376617,0.001315161685599884,0.0332976174628407
