Date,Best_SARIMA,Lower_95,Upper_95,SARIMA_Forecast,SARIMA_Lower_95,SARIMA_Upper_95
2026-01-01,7581.142521873624,6930.126757231564,8293.314675231119,7581.142521873624,6930.126757231564,8293.314675231119
2026-02-01,7379.962468193286,6672.65294862379,8162.24767739112,7379.962468193286,6672.65294862379,8162.24767739112
2026-03-01,7989.778669154934,7156.150265637714,8920.517430805296,7989.778669154934,7156.150265637714,8920.517430805296
2026-04-01,7791.372188930824,6849.259294701488,8863.072337384832,7791.372188930824,6849.259294701488,8863.072337384832
2026-05-01,8853.30265062554,7707.370863671142,10169.611558855118,8853.30265062554,7707.370863671142,10169.611558855118
2026-06-01,7841.441295680281,6759.888315796482,9096.03808836821,7841.441295680281,6759.888315796482,9096.03808836821
2026-07-01,7842.6697607961005,6685.831222579288,9199.67419595988,7842.6697607961005,6685.831222579288,9199.67419595988
2026-08-01,6698.117812256356,5660.403815242522,7926.074480066689,6698.117812256356,5660.403815242522,7926.074480066689
2026-09-01,8185.541240721982,6857.349214339982,9770.989242234384,8185.541240721982,6857.349214339982,9770.989242234384
2026-10-01,9172.511096126751,7617.6306188892595,11044.767594787401,9172.511096126751,7617.6306188892595,11044.767594787401
2026-11-01,8482.970974024529,6989.836928306037,10295.060855387097,8482.970974024529,6989.836928306037,10295.060855387097
2026-12-01,7658.897131412622,6262.315174446122,9366.935971048219,7658.897131412622,6262.315174446122,9366.935971048219
